t,o,h,l,c,v,s
1735693140,0.32127,0.32135,0.32101,0.3211,17269,DOGE_USDT
1735693200,3363.7,3364.15,3360.15,3360.85,21312,ETH_USDT
1735693200,192.46,192.54,192.17,192.23,391,SOL_USDT
1735693200,94371.1,94379.5,94211.5,94235.1,118417,BTC_USDT
1735693200,2.1106,2.1108,2.1068,2.1068,11709,XRP_USDT
1735693200,0.3211,0.32111,0.32048,0.32059,32768,DOGE_USDT
1735693260,94235.1,94235.1,94169.4,94175.9,38978,BTC_USDT
1735693260,2.1073,2.1075,2.1061,2.1066,1922,XRP_USDT
1735693260,3361.05,3364.95,3360.4,3364.95,32034,ETH_USDT
1735693260,192.16,192.38,192.16,192.38,410,SOL_USDT
1735693260,0.32059,0.3206,0.32024,0.32041,22786,DOGE_USDT
1735693320,3364.65,3365.6,3361.7,3361.7,10248,ETH_USDT
1735693320,192.35,192.41,192.09,192.14,184,SOL_USDT
1735693320,2.1067,2.1068,2.1053,2.1053,1544,XRP_USDT
1735693320,0.3204,0.3204,0.32007,0.32007,11871,DOGE_USDT
1735693320,94176,94181.6,94140.8,94140.8,20411,BTC_USDT
1735693380,94140.8,94156.2,94097.5,94097.5,106332,BTC_USDT
1735693380,192.11,192.18,192.02,192.02,363,SOL_USDT
1735693380,3361.5,3362.2,3360.2,3360.7,19259,ETH_USDT
1735693380,0.32006,0.32015,0.31983,0.31988,21361,DOGE_USDT
1735693380,2.1055,2.1063,2.1047,2.1052,1011,XRP_USDT
1735693440,192.02,192.02,191.83,191.99,252,SOL_USDT
1735693440,0.31984,0.31984,0.31969,0.31971,16676,DOGE_USDT
1735693440,94097.5,94097.5,94057,94080.8,57084,BTC_USDT
1735693440,3360.45,3360.45,3356.85,3358.8,21576,ETH_USDT
1735693440,2.1047,2.1052,2.1038,2.1047,727,XRP_USDT
1735693500,0.31969,0.31972,0.31891,0.31916,108302,DOGE_USDT
1735693500,2.1051,2.1051,2.1005,2.1013,912,XRP_USDT
1735693500,191.89,191.94,191.52,191.53,724,SOL_USDT
1735693500,3358.75,3358.75,3354.05,3354.55,29768,ETH_USDT
1735693500,94070.4,94070.4,93889.2,93904.8,237647,BTC_USDT
1735693560,2.1008,2.1024,2.1008,2.1024,814,XRP_USDT
1735693560,0.31912,0.3193,0.31912,0.31919,7178,DOGE_USDT
1735693560,93904.9,93938.1,93900,93925.9,125338,BTC_USDT
1735693560,3354.55,3355.95,3354.35,3354.7,17851,ETH_USDT
1735693560,191.53,191.56,191.43,191.43,285,SOL_USDT
1735693620,93925.8,93964.4,93916.3,93960.8,97210,BTC_USDT
1735693620,3354.7,3357.2,3354.7,3356.25,10793,ETH_USDT
1735693620,2.1025,2.1041,2.1025,2.1038,66,XRP_USDT
1735693620,0.31925,0.3195,0.31925,0.31944,3001,DOGE_USDT
